iter	Passed	Remaining
857	67202	89446
858	67278	89365
859	67353	89281
860	67426	89197
861	67499	89112
862	67580	89036
863	67659	88959
864	67739	88883
865	67816	88804
866	67890	88719
867	67967	88639
868	68044	88559
869	68121	88480
870	68198	88400
871	68275	88319
872	68348	88234
873	68422	88151
874	68498	88069
875	68571	87984
876	68645	87901
877	68723	87821
878	68802	87744
879	68880	87665
880	68978	87612
881	69054	87531
882	69134	87456
883	69209	87373
884	69286	87293
885	69363	87213
886	69442	87135
887	69519	87056
888	69591	86969
889	69670	86892
890	69745	86810
891	69821	86728
892	69897	86647
893	69978	86572
894	70062	86501
895	70141	86424
896	70216	86341
897	70291	86259
898	70367	86178
899	70441	86095
900	70518	86014
901	70588	85927
902	70661	85842
903	70734	85757
904	70807	85673
905	70879	85587
906	70954	85505
907	71030	85424
908	71107	85344
909	71181	85261
910	71257	85180
911	71333	85099
912	71410	85020
913	71499	84954
914	71574	84872
915	71653	84794
916	71729	84714
917	71802	84630
918	71876	84546
919	71951	84464
920	72030	84388
921	72108	84308
922	72185	84229
923	72257	84144
924	72333	84063
925	72410	83984
926	72485	83901
927	72560	83820
928	72639	83742
929	72713	83659
930	72789	83578
931	72869	83502
932	72941	83417
933	73019	83339
934	73094	83257
935	73168	83174
936	73241	83090
937	73319	83011
938	73392	82927
939	73466	82845
940	73547	82770
941	73629	82696
942	73736	82650
943	73843	82604
944	73948	82556
945	74038	82491
946	74124	82421
947	74199	82339
948	74278	82261
949	74351	82177
950	74435	82106
951	74512	82026
952	74588	81945
953	74662	81862
954	74740	81784
955	74817	81704
956	74896	81626
957	74974	81548
958	75050	81468
959	75128	81388
960	75202	81306
961	75278	81225
962	75352	81142
963	75426	81059
964	75502	80979
965	75580	80900
966	75655	80818
967	75727	80734
968	75807	80657
969	75882	80576
970	75958	80495
971	76032	80413
972	76109	80333
973	76198	80266
974	76279	80191
975	76365	80121
976	76438	80037
977	76518	79961
978	76589	79875
979	76662	79791
980	76739	79712
981	76817	79633
982	76891	79551
983	76968	79471
984	77049	79396
985	77121	79311
986	77201	79235
987	77277	79154
