iter	Passed	Remaining
604	42672	803729
605	42736	803532
606	42801	803363
607	42878	803413
608	42950	803370
609	43016	803213
610	43080	803011
611	43146	802863
612	43209	802654
613	43274	802483
614	43343	802374
615	43410	802256
616	43480	802178
617	43554	802156
618	43617	801957
619	43682	801786
620	43748	801640
621	43813	801462
622	43876	801248
623	43941	801079
624	44005	800891
625	44069	800710
626	44132	800517
627	44200	800389
628	44262	800178
629	44328	800029
630	44393	799857
631	44460	799726
632	44523	799525
633	44590	799391
634	44657	799256
635	44721	799074
636	44783	798869
637	44847	798674
638	44913	798535
639	44985	798487
640	45054	798397
641	45125	798348
642	45193	798227
643	45265	798189
644	45347	798324
645	45416	798241
646	45481	798070
647	45549	797966
648	45613	797780
649	45680	797643
650	45748	797540
651	45817	797442
652	45881	797277
653	45948	797136
654	46014	796994
655	46085	796949
656	46163	796999
657	46230	796884
658	46294	796706
659	46359	796536
660	46422	796349
661	46487	796189
662	46552	796025
663	46616	795846
664	46682	795713
665	46751	795619
666	46820	795532
667	46900	795616
668	46968	795510
669	47040	795477
670	47108	795374
671	47177	795272
672	47248	795220
673	47327	795293
674	47402	795312
675	47469	795189
676	47537	795080
677	47603	794941
678	47669	794791
679	47739	794722
680	47806	794600
681	47873	794481
682	47945	794436
683	48013	794331
684	48082	794244
685	48153	794174
686	48223	794108
687	48290	793992
688	48361	793929
689	48430	793840
690	48497	793709
691	48566	793623
692	48637	793563
693	48705	793466
694	48775	793390
695	48850	793396
696	48916	793255
697	48985	793172
698	49064	793242
699	49144	793327
700	49215	793268
701	49285	793203
702	49354	793104
703	49428	793099
704	49507	793177
705	49580	793149
706	49649	793064
707	49721	793022
708	49790	792925
709	49859	792841
710	49928	792741
711	49998	792676
712	50066	792561
713	50135	792472
714	50212	792512
715	50283	792463
716	50352	792362
717	50419	792241
718	50485	792110
719	50553	792010
720	50620	791889
721	50686	791746
722	50758	791705
723	50825	791588
724	50894	791493
725	50961	791374
726	51026	791233
727	51095	791132
728	51160	790980
729	51231	790929
730	51317	791109
731	51384	790984
732	51461	791024
733	51532	790967
734	51604	790913
735	51668	790752
736	51747	790814
737	51818	790763
738	51884	790627
739	51948	790464
740	52014	790325
741	52085	790268
742	52157	790218
743	52238	790325
744	52304	790190
745	52368	790016
746	52435	789905
747	52501	789763
748	52568	789645
749	52631	789472
750	52696	789324
751	52763	789207
752	52829	789078
753	52895	788945
754	52961	788815
755	53039	788851
756	53106	788744
757	53177	788688
758	53244	788570
759	53314	788497
760	53384	788419
761	53449	788269
762	53515	788149
763	53586	788081
764	53652	787956
765	53719	787842
766	53783	787672
767	53848	787529
768	53918	787469
769	53984	787331
770	54050	787198
771	54121	787144
772	54186	787004
773	54252	786869
774	54322	786806
775	54390	786695
776	54455	786559
777	54525	786478
778	54594	786397
779	54669	786399
